chr	start	stop	type_v2	v1_MSE_0	v1_S_0	v1_MSE_1	v1_S_1	v1_MSE_2	v1_S_2	v1_MSE_3	v1_S_3	v1_MSE_4	v1_S_4	v1_MSE	v1_S
chr1	72345600	73394176	fold0	0.11079351	0.5229586917546034	0.15824214	0.6697141145523293	0.08600231	0.16565922036057648	0.11435471	0.30599939521620384	0.070616856	-0.0010303655532231898	0.1080019	0.332660211266098
chr1	72869888	73918464	fold0	0.11008893	0.05930630429825711	0.1329981	0.20089709077838447	0.08137706	0.16343179341329506	0.123753004	0.011222065824622303	0.070545934	-0.004639130351885074	0.1037526	0.08604362479253477
chr1	73394176	74442752	fold0	0.11581431	0.1513356118777724	0.10347698	0.37684617825902056	0.07761874	0.30798464083086147	0.13768527	0.07238305780288383	0.14508875	-0.08932083487002355	0.115936816	0.16384573078010295
chr1	73918464	74967040	fold0	0.13460054	0.6555960787841005	0.09130604	0.7986244465898907	0.07933592	0.5526690498886587	0.1565748	0.6926745399646994	0.089737445	0.5267645638165277	0.11031096	0.6452657358087754
chr1	74442752	75491328	fold0	0.20726655	0.5177661972181676	0.12610608	0.7568645725470389	0.09074633	0.6551300403743308	0.20380606	0.5058927933734769	0.08541293	0.6126524493498863	0.14266759	0.60966121057258
chr1	74967040	76015616	fold0	0.18646748	0.4092681506501802	0.12859505	0.668213089275484	0.08930496	0.5373951906434212	0.20325103	0.28942407019479777	0.08353753	0.521092842106817	0.1382312	0.48507866857414006
chr1	75491328	76539904	fold0	0.14043836	0.41412760497877993	0.16748971	0.6038375331133087	0.08225284	0.3238296987231943	0.1533477	0.4047846724804659	0.0930105	0.5245805800028471	0.12730782	0.45423201785971923
chr1	76015616	77064192	fold0	0.10636505	0.6438119780117847	0.07447246	0.5676129288429657	0.051789705	0.38767096540795476	0.10220128	0.3558784554954874	0.0571882	0.31305892555003084	0.07840334	0.45360665066164474
chr1	76539904	77588480	fold0	0.17578901	0.7882616826757398	0.082896195	0.7057789528406357	0.061424322	0.5078161553751939	0.14852564	0.7417658553343369	0.06625718	0.5568987973828925	0.10697846	0.6601042887217596
chr1	109703168	110751744	fold0	0.18782784	0.7140678720681483	0.16316937	0.6763896418067993	0.14611527	0.5895866430512569	0.38490278	0.5415840581597926	0.106063165	0.6029043911345382	0.19761568	0.624906521244107
chr1	110227456	111276032	fold0	0.17246164	0.6508080162872542	0.14621355	0.5153911628581181	0.11910647	0.3944914714893123	0.22345054	0.4476257072873817	0.098165385	0.6020160913996173	0.15187952	0.5220664898643367
chr1	110751744	111800320	fold0	0.2966919	0.5509153692975636	0.15058722	0.5668735438663457	0.10165287	0.5743680915415648	0.2041234	0.5468178109548304	0.08488397	0.5483365009503833	0.16758786	0.5574622633221376
chr1	111276032	112324608	fold0	0.28368708	0.5916562933302905	0.09414724	0.8065951453377066	0.26158154	0.5443676308194345	0.28452504	0.5458975604710482	0.08432889	0.6789353863189113	0.20165396	0.6334904032554782
chr1	111800320	112848896	fold0	0.20334014	0.8117983353034178	0.09858805	0.841246633163398	0.114259765	0.6890736268374061	0.25574785	0.7316556575569666	0.09460948	0.7554164117656891	0.15330906	0.7658381329253755
chr1	112324608	113373184	fold0	0.15346634	0.781374735264308	0.16689804	0.6576010007047526	0.09174321	0.6941042994728076	0.1752777	0.7418960076939751	0.078338854	0.6496285122430656	0.13314483	0.7049209110757818
chr1	112848896	113897472	fold0	0.15827166	0.8182150251666994	0.14185278	0.763178967396756	0.07922787	0.8487766760518045	0.12719607	0.811854504073727	0.0761297	0.7771363825864944	0.11653562	0.8038323110550962
chr1	113373184	114421760	fold0	0.13667704	0.7553215743691143	0.19269244	0.7201075859719642	0.12901026	0.6253547574363412	0.17732492	0.7065024114031808	0.088334695	0.6213869785474594	0.14480786	0.6857346615456119
chr1	166064128	167112704	fold1	0.15736936	0.41251008484748003	0.15161486	0.6001387560229139	0.07796216	0.5471393533622445	0.1846743	0.29440255727775605	0.080477916	0.5179588178569998	0.13041972	0.4744299138734789
chr1	166588416	167636992	fold1	0.21351637	0.5902086998448969	0.28595325	0.4306438163392252	0.18946466	0.5395449436123319	0.27406833	0.4383379157710099	0.13882774	0.4053025092873086	0.22036609	0.48080757697095444
chr1	167112704	168161280	fold1	0.18532941	0.6679017806860631	0.14489861	0.5034531764774468	0.088062234	0.5949108439587987	0.20311032	0.6417105923219082	0.07456406	0.5728893841637015	0.13919292	0.5961731555215837
chr1	167636992	168685568	fold1	0.2192565	0.4924971884377868	0.14395985	0.44258172346142544	0.091481775	0.5038015484218783	0.24374555	0.4404546747638101	0.08665793	0.34896382915887536	0.15702032	0.44565979284875523
chr1	168161280	169209856	fold1	0.21985136	0.5712343904474465	0.13133658	0.6295709563276635	0.09222305	0.528643156116113	0.14403394	0.4149318254355491	0.07675655	0.5433785302398851	0.13284029	0.5375517717133313
chr1	168685568	169734144	fold1	0.16213092	0.5744467823219841	0.1291084	0.6181949256949395	0.083691634	0.7133315939549518	0.14656015	0.6375897419509339	0.0826467	0.5966606321162411	0.120827556	0.62804473520781
chr1	169209856	170258432	fold1	0.1597958	0.6820239670671857	0.15664905	0.5837081138012373	0.11595731	0.557318671817091	0.17488617	0.5754244761779763	0.11312284	0.45165710586516555	0.14408223	0.5700264669457311
chr1	188002304	189050880	fold1	0.111476235	0.04633647845271486	0.09658689	0.00855962622278358	0.07716982	-0.014104383339874129	0.103662424	-0.045206895598551344	0.06869914	0.06496730860140995	0.0915189	0.012110426867696584
chr1	188526592	189575168	fold1	0.089505024	-0.009083620089288907	0.104250565	0.10244033004090083	0.07923231	0.025636169205192245	0.100891374	0.030053555930732535	0.07462569	0.053890987704977515	0.089701	0.04058748455850285
chr1	189050880	190099456	fold1	0.10314431	-0.0031947842049891923	0.091084704	0.2973040158633152	0.08967383	0.010358683052698915	0.12466152	-0.09623421160430008	0.071429655	0.08579545949641458	0.0959988	0.05880583252062789
chr1	189575168	190623744	fold1	0.12619272	0.02189179251631689	0.09486733	0.5368902856018307	0.09138582	0.2188013611895242	0.1264085	0.5402549860220979	0.068289965	0.40095093889060157	0.10142887	0.3437578728440743
chr1	190099456	191148032	fold1	0.11357446	0.12620140071907018	0.117989466	0.4215135969633214	0.091449544	0.334437749466991	0.16355906	0.626475174294567	0.078891456	0.4145744826508123	0.1130928	0.3846404808189524
chr1	190623744	191672320	fold1	0.09356272	0.07011891810211508	0.08948102	0.3369665727001879	0.08213801	-0.14406139572940077	0.10426026	0.08462533192650365	0.06869745	0.07175879000151314	0.087627895	0.08388164340018381
chr1	191148032	192196608	fold1	0.09362335	0.013502056518114496	0.09940202	0.43232626214856257	0.07789892	0.10128281202147613	0.11056868	0.1653034768430658	0.06651502	0.09725543552429172	0.08960159	0.16193400861110213
chr1	196851712	197900288	fold1	0.21229355	0.3538657570339608	0.18895215	0.2505651978179831	0.16142946	0.1687254928176475	0.24974538	0.27812897329816955	0.108292505	0.2056775583130105	0.18414262	0.25139259585615426
chr1	224040960	225089536	fold6	0.24375354	0.6242737179542143	0.14492996	0.8005941268196353	0.09376583	0.8366511724626541	0.15806529	0.7683136919129451	0.07283337	0.7725841338822415	0.14266959	0.760483368606338
chr1	224565248	225613824	fold6	0.14869112	0.8101677518580562	0.14411779	0.718108603219234	0.12176531	0.5684538809911545	0.31447217	0.6191357184147891	0.1411549	0.5699922083784285	0.17404024	0.6571716325723325
chr1	225089536	226138112	fold6	0.31710035	0.7745464488811323	0.19242066	0.7495019840655814	0.11309174	0.7275624960924968	0.5296062	0.7777137541429033	0.16604134	0.7386347470383465	0.26365206	0.753591886044092
chr1	225613824	226662400	fold6	0.189061	0.43867287796402543	0.13096339	0.5456964308618701	0.11885612	0.38155470194250485	0.2070802	0.39165302252819123	0.09156273	0.44699973207749516	0.14750469	0.44091535307481733
chr1	226138112	227186688	fold6	0.12148533	0.6606252136764609	0.10307504	0.6823306687321178	0.094103344	0.6911879561206068	0.13575129	0.6101529165820522	0.076823704	0.609672216302478	0.106247745	0.6507937942827431
chr1	226662400	227710976	fold6	0.25916246	0.4883065387008541	0.21901232	0.46771552674364936	0.097613856	0.4763440492468998	0.22525956	0.464355136080443	0.09601995	0.4320924442667764	0.17941363	0.46576273900772447
