seqnames	start	end	width	strand	score	phyloP	rmsk	name	isBound	TF	chipseq.score	rownames
1	chr1	9541413	9541431	19	-	13.2902	-0.0225789473684211	FALSE	CTCF	TRUE	CTCF	401.092987060547	TFBS_1000
2	chr6	41118354	41118372	19	+	12.5926	0.409578947368421	FALSE	CTCF	TRUE	CTCF	278.183990478516	TFBS_10006
3	chr6	41137170	41137188	19	+	23.8283	0.637684210526316	FALSE	CTCF	TRUE	CTCF	266.123992919922	TFBS_10007
4	chr1	9541469	9541487	19	-	13.2902	0.385315789473684	FALSE	CTCF	TRUE	CTCF	401.092987060547	TFBS_1001
5	chr6	41622797	41622815	19	+	12.7679	1.43447368421053	FALSE	CTCF	TRUE	CTCF	229.501998901367	TFBS_10013
6	chr6	42349131	42349149	19	+	11.9127	1.11042105263158	FALSE	CTCF	TRUE	CTCF	208.638000488281	TFBS_10018
7	chr1	9545334	9545352	19	-	17.1224	0.913684210526316	FALSE	CTCF	TRUE	CTCF	255.647003173828	TFBS_1002
8	chr6	43022141	43022159	19	+	15.997	0.0142631578947368	FALSE	CTCF	TRUE	CTCF	251.925994873047	TFBS_10023
9	chr6	47794303	47794321	19	+	18.2569	NA	FALSE	CTCF	TRUE	CTCF	375.548004150391	TFBS_10034
10	chr6	47877571	47877589	19	+	11.3877	1.54152631578947	FALSE	CTCF	TRUE	CTCF	220.024002075195	TFBS_10037
11	chr6	48016399	48016417	19	+	21.1596	0.563	FALSE	CTCF	TRUE	CTCF	417.276000976562	TFBS_10038
12	chr6	48086011	48086029	19	+	11.659	0.491263157894737	FALSE	CTCF	TRUE	CTCF	354.683990478516	TFBS_10039
13	chr6	48178125	48178143	19	+	17.713	0.186315789473684	FALSE	CTCF	TRUE	CTCF	229.501998901367	TFBS_10040
14	chr6	48539548	48539566	19	+	22.2602	0.0692631578947369	FALSE	CTCF	TRUE	CTCF	292.092987060547	TFBS_10041
15	chr6	48645829	48645847	19	+	20.6939	0.745631578947368	FALSE	CTCF	TRUE	CTCF	347.730010986328	TFBS_10044
16	chr6	48647160	48647178	19	+	14.1425	0.334105263157895	FALSE	CTCF	TRUE	CTCF	347.730010986328	TFBS_10045
17	chr6	48817986	48818004	19	+	17.7165	0.149894736842105	FALSE	CTCF	TRUE	CTCF	436.184997558594	TFBS_10049
18	chr1	11140105	11140123	19	-	13.0579	-0.0251052631578947	FALSE	CTCF	TRUE	CTCF	163.445999145508	TFBS_1005
19	chr6	49057857	49057875	19	+	14.1445	0.886526315789474	FALSE	CTCF	TRUE	CTCF	431.184997558594	TFBS_10052
20	chr6	49269390	49269408	19	+	16.8372	0.497526315789474	FALSE	CTCF	TRUE	CTCF	462.480987548828	TFBS_10054
21	chr6	50305376	50305394	19	+	16.9632	0.808473684210526	FALSE	CTCF	TRUE	CTCF	399.889007568359	TFBS_10059
22	chr6	50309189	50309207	19	+	10.1654	0.118789473684211	FALSE	CTCF	TRUE	CTCF	413.798004150391	TFBS_10060
